name,family,n_ops,bks,makespan,gap_pct,feasible,ops_emitted,missing_op_count,precedence,routing,machine_cap,timing
ft06,FT,36,55,59,7.2727272727272725,True,36,0,0,0,0,0
ft10,FT,100,930,1637,76.0215053763441,True,131,0,0,0,0,0
ft20,FT,100,1165,814,,False,51,52,0,3,0,0
la01,LA,50,666,666,0.0,True,50,0,0,0,0,0
la02,LA,50,655,730,11.450381679389313,True,50,0,0,0,0,0
la03,LA,50,597,650,8.877721943048575,True,50,0,0,0,0,0
la04,LA,50,590,637,7.966101694915253,True,50,0,0,0,0,0
la05,LA,50,593,593,0.0,True,50,0,0,0,0,0
la06,LA,75,926,755,,False,51,25,0,0,0,0
la07,LA,75,890,642,,False,50,25,0,0,0,0
la08,LA,75,863,624,,False,50,25,0,0,0,0
la09,LA,75,951,668,,False,50,25,0,0,0,0
la10,LA,75,958,761,,False,50,25,0,0,0,0
la16,LA,100,945,1153,22.01058201058201,True,104,0,0,0,0,0
la17,LA,100,784,818,4.336734693877551,True,100,0,0,0,0,0
la18,LA,100,848,982,15.80188679245283,True,100,0,0,0,0,0
la19,LA,100,842,1130,34.204275534441805,True,105,0,0,0,0,0
la20,LA,100,902,1095,21.396895787139687,True,105,0,0,0,0,0
