idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
,ft06,36,55,True,59,0,0,0,0,0,0,36,36,6.57
,ft10,100,930,True,1637,0,0,0,0,0,0,131,100,23.42
,ft20,100,1165,False,814,52,3,0,0,0,55,51,100,8.49
,la01,50,666,True,666,0,0,0,0,0,0,50,50,8.04
,la02,50,655,True,730,0,0,0,0,0,0,50,50,8.03
,la03,50,597,True,650,0,0,0,0,0,0,50,50,8.03
,la04,50,590,True,637,0,0,0,0,0,0,50,50,8.03
,la05,50,593,True,593,0,0,0,0,0,0,50,50,8.03
,la06,75,926,False,755,25,0,0,0,0,25,51,75,8.38
,la07,75,890,False,642,25,0,0,0,0,25,50,75,8.2
,la08,75,863,False,624,25,0,0,0,0,25,50,75,8.2
,la09,75,951,False,668,25,0,0,0,0,25,50,75,8.19
,la10,75,958,False,761,25,0,0,0,0,25,50,75,8.2
,la16,100,945,True,1153,0,0,0,0,0,0,104,100,17.7
,la17,100,784,True,818,0,0,0,0,0,0,100,100,16.88
,la18,100,848,True,982,0,0,0,0,0,0,100,100,16.86
,la19,100,842,True,1130,0,0,0,0,0,0,105,100,17.89
,la20,100,902,True,1095,0,0,0,0,0,0,105,100,17.86
