name,family,n_ops,bks,makespan,gap_pct,feasible,ops_emitted,missing_op_count,precedence,routing,machine_cap,timing
ft06,FT,36,55,61,10.909090909090908,True,36,0,0,0,0,0
ft10,FT,100,930,4286,,False,295,0,0,0,31,10
ft20,FT,100,1165,873,,False,49,52,0,3,0,0
la01,LA,50,666,697,4.654654654654655,True,50,0,0,0,0,0
la02,LA,50,655,698,6.564885496183207,True,50,0,0,0,0,0
la03,LA,50,597,653,9.380234505862646,True,50,0,0,0,0,0
la04,LA,50,590,637,7.966101694915253,True,50,0,0,0,0,0
la05,LA,50,593,593,0.0,True,50,0,0,0,0,0
la06,LA,75,926,737,,False,51,25,0,0,0,0
la07,LA,75,890,615,,False,50,25,0,0,0,0
la08,LA,75,863,666,,False,50,25,0,0,0,0
la09,LA,75,951,736,,False,50,25,0,0,0,0
la10,LA,75,958,761,,False,50,25,0,0,0,0
la16,LA,100,945,1092,15.555555555555555,True,100,0,0,0,0,0
la17,LA,100,784,933,19.005102040816325,True,102,0,0,0,0,0
la18,LA,100,848,957,12.853773584905662,True,100,0,0,0,0,0
la19,LA,100,842,1011,20.071258907363422,True,103,0,0,0,0,0
la20,LA,100,902,1058,17.29490022172949,True,101,0,0,0,0,0
