idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
,ft06,36,55,True,61,0,0,0,0,0,0,36,36,6.16
,ft10,100,930,False,4286,0,0,31,10,0,41,295,100,64.01
,ft20,100,1165,False,873,52,3,0,0,0,55,49,100,8.26
,la01,50,666,True,697,0,0,0,0,0,0,50,50,8.14
,la02,50,655,True,698,0,0,0,0,0,0,50,50,8.06
,la03,50,597,True,653,0,0,0,0,0,0,50,50,8.06
,la04,50,590,True,637,0,0,0,0,0,0,50,50,8.06
,la05,50,593,True,593,0,0,0,0,0,0,50,50,8.06
,la06,75,926,False,737,25,0,0,0,0,25,51,75,8.5
,la07,75,890,False,615,25,0,0,0,0,25,50,75,8.25
,la08,75,863,False,666,25,0,0,0,0,25,50,75,8.25
,la09,75,951,False,736,25,0,0,0,0,25,50,75,8.25
,la10,75,958,False,761,25,0,0,0,0,25,50,75,8.25
,la16,100,945,True,1092,0,0,0,0,0,0,100,100,17.22
,la17,100,784,True,933,0,0,0,0,0,0,102,100,17.33
,la18,100,848,True,957,0,0,0,0,0,0,100,100,16.97
,la19,100,842,True,1011,0,0,0,0,0,0,103,100,17.52
,la20,100,902,True,1058,0,0,0,0,0,0,101,100,17.17
