model,split,n,feasible,feasibility_pct,mean_gap_pct,median_gap_pct,miss_op_sum,route_viol_sum,mc_viol_sum,time_viol_sum,prec_viol_sum
baseline_sft,ood,18,9,50.0,20.12,10.91,177,5,30,14,1
baseline_sft,sm,200,190,95.0,6.73,3.87,5,100,389,40,70
full_hybrid_lc_n2000_v5,ood,18,12,66.67,17.44,10.16,177,3,0,0,0
full_hybrid_lc_n2000_v5,sm,200,194,97.0,5.36,3.02,4,9,1,3,5
full_lora_hybrid_lc_n2000_v5,ood,18,12,66.67,17.44,10.16,177,3,0,0,0
full_lora_hybrid_lc_n2000_v5,sm,200,194,97.0,5.36,3.02,4,9,1,3,5
full_lora_hybrid_lc_over_n2000_v7,ood,18,9,50.0,7.46,8.55,41,2,21,11,1
full_lora_hybrid_lc_over_n2000_v7,sm,200,189,94.5,4.66,1.83,6,49,94,33,28
full_lora_hybrid_n2000_v4_ckpt100,ood,18,10,55.56,9.25,6.94,55,1,1,0,0
full_lora_hybrid_n2000_v4_ckpt100,sm,200,188,94.0,5.04,2.99,9,5,6,1,2
full_lora_hybrid_n2000_v4_ckpt150,ood,18,8,44.44,9.26,10.78,45,5,2,0,1
full_lora_hybrid_n2000_v4_ckpt150,sm,200,189,94.5,5.16,2.82,14,50,90,27,29
full_lora_hybrid_n2000_v4_ckpt200,ood,18,9,50.0,9.61,9.71,45,5,0,0,3
full_lora_hybrid_n2000_v4_ckpt200,sm,200,191,95.5,5.15,2.94,22,2,0,1,0
full_lora_hybrid_n2000_v4_ckpt250,ood,18,9,50.0,6.92,7.27,45,1,0,0,0
full_lora_hybrid_n2000_v4_ckpt250,sm,200,193,96.5,5.08,2.45,7,2,1,1,0
full_lora_hybrid_n2000_v4_ckpt300,ood,18,8,44.44,12.02,12.17,49,0,1,1,1
full_lora_hybrid_n2000_v4_ckpt350,ood,18,9,50.0,9.82,9.92,41,2,12,10,1
full_lora_hybrid_n2000_v4_ckpt350,sm,200,188,94.0,5.06,2.75,9,10,2,1,2
full_lora_hybrid_n2000_v4_ckpt400,ood,18,10,55.56,10.21,9.54,52,3,0,0,2
full_lora_hybrid_n2000_v4_ckpt400,sm,200,192,96.0,5.18,2.63,8,58,89,32,41
full_lora_hybrid_n2000_v4_ckpt500,ood,18,10,55.56,8.99,8.55,32,2,3,0,1
full_lora_hybrid_n2000_v4_ckpt500,sm,200,192,96.0,5.04,2.5,5,3,3,0,0
full_lora_hybrid_n2000_v4_ckpt50,ood,18,9,50.0,12.36,12.06,38,2,1,0,1
full_lora_hybrid_n2000_v4_ckpt50,sm,200,184,92.0,4.78,2.97,11,3,4,1,1
full_lora_hybrid_n2000_v4,ood,18,13,72.22,11.26,10.97,40,2,0,0,0
full_lora_hybrid_n2000_v4,sm,200,189,94.5,4.89,2.82,6,2,1,17,1
full_lora_stratified_2000_v1,ood,18,11,61.11,7.76,9.09,23,1,0,12,0
full_lora_stratified_2000_v1,sm,200,196,98.0,5.21,2.46,2,2,0,1,3
full_lora_stratified_lc_n2000_v6,ood,18,8,44.44,5.54,5.83,37,1,14,16,1
full_lora_stratified_n2000_v3,ood,18,9,50.0,8.25,6.63,29,8,5,10,0
full_lora_stratified_n2000_v3,sm,200,192,96.0,4.89,1.95,7,6,0,2,1
full_rslora_hybrid_n2000_v4_ckpt100,ood,18,6,33.33,7.86,9.02,175,2,47,68,0
full_rslora_hybrid_n2000_v4_ckpt100,sm,200,182,91.0,5.36,2.97,2,84,354,56,49
full_rslora_hybrid_n2000_v4_ckpt150,ood,18,6,33.33,11.96,13.47,177,13,61,37,2
full_rslora_hybrid_n2000_v4_ckpt150,sm,200,186,93.0,5.24,3.04,2,75,248,41,45
full_rslora_hybrid_n2000_v4_ckpt200,ood,18,7,38.89,9.32,8.88,175,7,0,0,1
full_rslora_hybrid_n2000_v4_ckpt200,sm,200,192,96.0,5.21,3.82,2,27,183,31,13
full_rslora_hybrid_n2000_v4_ckpt250,ood,18,8,44.44,11.1,9.89,175,1,42,31,2
full_rslora_hybrid_n2000_v4_ckpt250,sm,200,186,93.0,5.38,3.4,6,85,234,27,40
full_rslora_hybrid_n2000_v4_ckpt300,ood,18,8,44.44,9.22,7.43,177,5,4,0,1
full_rslora_hybrid_n2000_v4_ckpt300,sm,200,190,95.0,5.34,3.09,1,106,410,56,72
full_rslora_hybrid_n2000_v4_ckpt350,ood,18,6,33.33,6.5,7.17,178,4,19,22,0
full_rslora_hybrid_n2000_v4_ckpt350,sm,200,186,93.0,5.27,3.4,1,62,409,33,38
full_rslora_hybrid_n2000_v4_ckpt400,ood,18,6,33.33,9.65,11.01,177,8,42,43,0
full_rslora_hybrid_n2000_v4_ckpt400,sm,200,183,91.5,5.26,3.04,3,83,460,66,63
