model,case,size,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
SFT,ft06,6x6,55,61,10.91,0,0,0,0,0,0,0,Yes
SFT,ft10,10x10,930,1602,72.26,0,36,0,0,0,0,36,No
SFT,ft20,20x5,1165,798,-31.50,50,0,0,0,0,0,50,No
SFT,la01,10x5,666,666,0.00,0,0,0,0,0,0,0,Yes
SFT,la02,10x5,655,721,10.08,0,0,0,0,0,0,0,Yes
SFT,la03,10x5,597,687,15.08,0,0,0,0,0,0,0,Yes
SFT,la04,10x5,590,701,18.81,0,0,0,0,0,0,0,Yes
SFT,la05,10x5,593,605,2.02,0,0,0,0,0,0,0,Yes
SFT,la06,15x5,926,824,-11.02,25,1,0,0,0,0,26,No
SFT,la07,15x5,890,664,-25.39,25,0,0,0,0,0,25,No
SFT,la08,15x5,863,614,-28.85,25,0,0,0,0,0,25,No
SFT,la09,15x5,951,703,-26.08,25,0,0,0,0,1,26,No
SFT,la10,15x5,958,746,-22.13,25,0,0,0,0,0,25,No
SFT,la16,10x10,945,5879,522.12,0,199,3,13,7,0,222,No
SFT,la17,10x10,784,1113,41.96,0,0,0,0,0,0,0,Yes
SFT,la18,10x10,848,4504,431.13,0,200,0,16,7,0,223,No
SFT,la19,10x10,842,1216,44.42,2,10,2,1,0,0,15,No
SFT,la20,10x10,902,992,9.98,0,0,0,0,0,0,0,Yes
V1,ft06,6x6,55,60,9.09,0,0,0,0,0,0,0,Yes
V1,ft10,10x10,930,3428,268.60,0,204,0,0,2,0,206,No
V1,ft20,20x5,1165,1200,3.00,19,2,0,0,0,0,21,No
V1,la01,10x5,666,700,5.11,0,0,0,0,0,0,0,Yes
V1,la02,10x5,655,736,12.37,0,0,0,0,0,0,0,Yes
V1,la03,10x5,597,655,9.72,0,0,0,0,0,0,0,Yes
V1,la04,10x5,590,616,4.41,0,0,0,0,0,0,0,Yes
V1,la05,10x5,593,593,0.00,0,0,0,0,0,0,0,Yes
V1,la06,15x5,926,5707,516.31,0,218,0,0,10,0,228,No
V1,la07,15x5,890,838,-5.84,3,0,0,0,0,0,3,No
V1,la08,15x5,863,863,0.00,0,0,0,0,0,0,0,Yes
V1,la09,15x5,951,1034,8.73,0,2,0,0,0,0,2,No
V1,la10,15x5,958,1034,7.93,0,1,0,0,0,0,1,No
V1,la16,10x10,945,1066,12.80,0,0,0,0,0,0,0,Yes
V1,la17,10x10,784,848,8.16,0,0,0,0,0,0,0,Yes
V1,la18,10x10,848,959,13.09,0,0,0,0,0,0,0,Yes
V1,la19,10x10,842,931,10.57,0,0,0,0,0,0,0,Yes
V1,la20,10x10,902,1009,11.86,1,0,1,0,0,0,2,No
V2,ft06,6x6,55,61,10.91,0,0,0,0,0,0,0,Yes
V2,ft10,10x10,930,4157,346.99,0,199,4,0,7,0,210,No
V2,ft20,20x5,1165,873,-25.06,50,7,1,0,0,0,58,No
V2,la01,10x5,666,676,1.50,0,1,0,0,0,0,1,No
V2,la02,10x5,655,703,7.33,0,0,0,0,0,0,0,Yes
V2,la03,10x5,597,676,13.23,0,0,0,0,0,0,0,Yes
V2,la04,10x5,590,679,15.08,0,0,0,0,0,0,0,Yes
V2,la05,10x5,593,624,5.23,0,2,0,0,0,1,3,No
V2,la06,15x5,926,747,-19.33,25,3,0,0,0,0,28,No
V2,la07,15x5,890,622,-30.11,25,0,0,0,0,0,25,No
V2,la08,15x5,863,664,-23.06,25,0,0,0,0,0,25,No
V2,la09,15x5,951,652,-31.44,26,0,0,0,0,0,26,No
V2,la10,15x5,958,707,-26.20,27,0,0,0,0,0,27,No
V2,la16,10x10,945,4333,358.52,0,199,5,24,7,1,236,No
V2,la17,10x10,784,4463,469.26,0,208,1,0,2,0,211,No
V2,la18,10x10,848,3548,318.40,0,201,1,1,6,0,209,No
V2,la19,10x10,842,5132,509.50,0,197,1,20,10,1,229,No
V2,la20,10x10,902,3838,325.50,0,206,1,3,2,0,212,No
V3,ft06,6x6,55,59,7.27,0,0,0,0,0,0,0,Yes
V3,ft10,10x10,930,1274,36.99,0,11,0,2,0,0,13,No
V3,ft20,20x5,1165,1205,3.43,22,6,4,1,1,0,34,No
V3,la01,10x5,666,666,0.00,0,0,0,0,0,0,0,Yes
V3,la02,10x5,655,779,18.93,0,0,0,0,0,0,0,Yes
V3,la03,10x5,597,632,5.86,0,0,0,0,0,0,0,Yes
V3,la04,10x5,590,667,13.05,0,0,0,0,0,0,0,Yes
V3,la05,10x5,593,593,0.00,0,0,0,0,0,0,0,Yes
V3,la06,15x5,926,956,3.24,1,0,0,0,0,0,1,No
V3,la07,15x5,890,975,9.55,0,1,0,0,0,0,1,No
V3,la08,15x5,863,811,-6.03,5,0,0,0,0,0,5,No
V3,la09,15x5,951,1105,16.19,0,1,0,0,0,0,1,No
V3,la10,15x5,958,994,3.76,0,0,0,0,0,0,0,Yes
V3,la16,10x10,945,4464,372.38,0,197,1,2,9,0,209,No
V3,la17,10x10,784,836,6.63,0,0,0,0,0,0,0,Yes
V3,la18,10x10,848,948,11.79,1,0,3,0,0,0,4,No
V3,la19,10x10,842,1000,18.76,0,0,0,0,0,0,0,Yes
V3,la20,10x10,902,1017,12.75,0,2,0,0,0,0,2,No
V4,ft06,6x6,55,59,7.27,0,0,0,0,0,0,0,Yes
V4,ft10,10x10,930,1122,20.65,0,0,0,0,0,0,0,Yes
V4,ft20,20x5,1165,1228,5.41,22,7,2,0,0,0,31,No
V4,la01,10x5,666,666,0.00,0,0,0,0,0,0,0,Yes
V4,la02,10x5,655,766,16.95,0,0,0,0,0,0,0,Yes
V4,la03,10x5,597,645,8.04,0,0,0,0,0,0,0,Yes
V4,la04,10x5,590,616,4.41,0,0,0,0,0,0,0,Yes
V4,la05,10x5,593,593,0.00,0,0,0,0,0,0,0,Yes
V4,la06,15x5,926,946,2.16,5,0,0,0,0,0,5,No
V4,la07,15x5,890,1077,21.01,0,0,0,0,0,0,0,Yes
V4,la08,15x5,863,871,0.93,0,0,0,0,0,0,0,Yes
V4,la09,15x5,951,886,-6.83,6,0,0,0,0,0,6,No
V4,la10,15x5,958,902,-5.85,7,0,0,0,0,0,7,No
V4,la16,10x10,945,1102,16.61,0,0,0,0,0,0,0,Yes
V4,la17,10x10,784,870,10.97,0,0,0,0,0,0,0,Yes
V4,la18,10x10,848,1009,18.99,0,0,0,0,0,0,0,Yes
V4,la19,10x10,842,1015,20.55,0,0,0,0,0,0,0,Yes
V4,la20,10x10,902,1019,12.97,0,1,0,0,0,0,1,No
V5,ft06,6x6,55,59,7.27,0,0,0,0,0,0,0,Yes
V5,ft10,10x10,930,1637,76.02,0,31,0,0,0,0,31,No
V5,ft20,20x5,1165,814,-30.13,52,3,3,0,0,0,58,No
V5,la01,10x5,666,666,0.00,0,0,0,0,0,0,0,Yes
V5,la02,10x5,655,730,11.45,0,0,0,0,0,0,0,Yes
V5,la03,10x5,597,650,8.88,0,0,0,0,0,0,0,Yes
V5,la04,10x5,590,637,7.97,0,0,0,0,0,0,0,Yes
V5,la05,10x5,593,593,0.00,0,0,0,0,0,0,0,Yes
V5,la06,15x5,926,755,-18.47,25,1,0,0,0,0,26,No
V5,la07,15x5,890,642,-27.87,25,0,0,0,0,0,25,No
V5,la08,15x5,863,624,-27.69,25,0,0,0,0,0,25,No
V5,la09,15x5,951,668,-29.76,25,0,0,0,0,0,25,No
V5,la10,15x5,958,761,-20.56,25,0,0,0,0,0,25,No
V5,la16,10x10,945,1153,22.01,0,4,0,0,0,0,4,No
V5,la17,10x10,784,818,4.34,0,0,0,0,0,0,0,Yes
V5,la18,10x10,848,982,15.80,0,0,0,0,0,0,0,Yes
V5,la19,10x10,842,1130,34.20,0,5,0,0,0,0,5,No
V5,la20,10x10,902,1095,21.40,0,5,0,0,0,0,5,No
V6,ft06,6x6,55,61,10.91,0,0,0,0,0,0,0,Yes
V6,ft10,10x10,930,4286,360.86,0,195,0,31,10,0,236,No
V6,ft20,20x5,1165,873,-25.06,52,1,3,0,0,0,56,No
V6,la01,10x5,666,697,4.65,0,0,0,0,0,0,0,Yes
V6,la02,10x5,655,698,6.56,0,0,0,0,0,0,0,Yes
V6,la03,10x5,597,653,9.38,0,0,0,0,0,0,0,Yes
V6,la04,10x5,590,637,7.97,0,0,0,0,0,0,0,Yes
V6,la05,10x5,593,593,0.00,0,0,0,0,0,0,0,Yes
V6,la06,15x5,926,737,-20.41,25,1,0,0,0,0,26,No
V6,la07,15x5,890,615,-30.90,25,0,0,0,0,0,25,No
V6,la08,15x5,863,666,-22.83,25,0,0,0,0,0,25,No
V6,la09,15x5,951,736,-22.61,25,0,0,0,0,0,25,No
V6,la10,15x5,958,761,-20.56,25,0,0,0,0,0,25,No
V6,la16,10x10,945,1092,15.56,0,0,0,0,0,0,0,Yes
V6,la17,10x10,784,933,19.01,0,2,0,0,0,0,2,No
V6,la18,10x10,848,957,12.85,0,0,0,0,0,0,0,Yes
V6,la19,10x10,842,1011,20.07,0,3,0,0,0,0,3,No
V6,la20,10x10,902,1058,17.29,0,1,0,0,0,0,1,No
llama_rslora,ft06,6x6,55,61,10.9091,0,0,0,0,0,0,0,True
llama_rslora,ft10,10x10,930,1150,23.6559,0,1,0,1,0,0,2,False
llama_rslora,ft20,20x5,1165,789,-32.2747,50,0,1,0,0,0,51,False
llama_rslora,la01,10x5,666,666,0.0000,0,0,0,0,0,0,0,True
llama_rslora,la02,10x5,655,732,11.7557,0,0,0,0,0,0,0,True
llama_rslora,la03,10x5,597,650,8.8777,0,0,0,0,0,0,0,True
llama_rslora,la04,10x5,590,687,16.4407,0,0,0,0,0,0,0,True
llama_rslora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
llama_rslora,la06,15x5,926,773,-16.5227,25,4,0,0,0,0,29,False
llama_rslora,la07,15x5,890,616,-30.7865,25,0,0,0,0,0,25,False
llama_rslora,la08,15x5,863,614,-28.8528,25,0,0,0,0,0,25,False
llama_rslora,la09,15x5,951,703,-26.0778,25,0,0,0,0,1,26,False
llama_rslora,la10,15x5,958,746,-22.1294,25,0,0,0,0,0,25,False
llama_rslora,la16,10x10,945,4185,342.8571,0,415,4,195,11,2,627,False
llama_rslora,la17,10x10,784,947,20.7908,0,4,0,0,0,1,5,False
llama_rslora,la18,10x10,848,1055,24.4104,0,0,0,0,0,0,0,True
llama_rslora,la19,10x10,842,955,13.4204,0,0,0,0,0,0,0,True
llama_rslora,la20,10x10,902,4485,397.2284,0,414,0,178,20,0,612,False
ministral_lora,ft06,6x6,55,59,7.2727,0,0,0,0,0,0,0,True
ministral_lora,ft10,10x10,930,1475,58.6022,1,8,4,0,0,0,13,False
ministral_lora,ft20,20x5,1165,1258,7.9828,24,4,1,2,0,0,31,False
ministral_lora,la01,10x5,666,690,3.6036,0,0,0,0,0,0,0,True
ministral_lora,la02,10x5,655,690,5.3435,0,0,0,0,0,0,0,True
ministral_lora,la03,10x5,597,695,16.4154,0,0,0,0,0,0,0,True
ministral_lora,la04,10x5,590,625,5.9322,0,0,0,0,0,0,0,True
ministral_lora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
ministral_lora,la06,15x5,926,803,-13.2829,13,0,0,0,0,0,13,False
ministral_lora,la07,15x5,890,741,-16.7416,14,0,0,0,0,0,14,False
ministral_lora,la08,15x5,863,770,-10.7764,11,0,0,0,0,0,11,False
ministral_lora,la09,15x5,951,936,-1.5773,10,0,0,0,0,0,10,False
ministral_lora,la10,15x5,958,969,1.1482,5,1,1,0,0,0,7,False
ministral_lora,la16,10x10,945,6498,587.6190,0,168,10,36,11,6,231,False
ministral_lora,la17,10x10,784,1234,57.3980,0,9,7,0,0,0,16,False
ministral_lora,la18,10x10,848,6717,692.0991,0,283,9,112,15,5,424,False
ministral_lora,la19,10x10,842,5773,585.6295,0,221,8,32,12,3,276,False
ministral_lora,la20,10x10,902,3130,247.0067,0,75,5,0,0,0,80,False
ministral_rslora,ft06,6x6,55,66,20.0000,0,0,0,0,0,0,0,True
ministral_rslora,ft10,10x10,930,3887,317.9570,0,277,17,144,71,2,511,False
ministral_rslora,ft20,20x5,1165,843,-27.6395,50,2,3,0,0,0,55,False
ministral_rslora,la01,10x5,666,763,14.5646,0,0,0,0,0,0,0,True
ministral_rslora,la02,10x5,655,899,37.2519,0,0,0,0,0,0,0,True
ministral_rslora,la03,10x5,597,770,28.9782,0,0,0,0,0,0,0,True
ministral_rslora,la04,10x5,590,723,22.5424,0,0,0,0,0,0,0,True
ministral_rslora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
ministral_rslora,la06,15x5,926,888,-4.1037,26,2,4,0,0,0,32,False
ministral_rslora,la07,15x5,890,797,-10.4494,25,4,1,0,0,0,30,False
ministral_rslora,la08,15x5,863,626,-27.4623,30,0,2,0,0,0,32,False
ministral_rslora,la09,15x5,951,761,-19.9790,26,1,9,0,0,1,37,False
ministral_rslora,la10,15x5,958,868,-9.3946,26,5,6,0,0,0,37,False
ministral_rslora,la16,10x10,945,5334,464.4444,0,277,23,139,53,4,496,False
ministral_rslora,la17,10x10,784,7320,833.6735,0,283,51,119,74,19,546,False
ministral_rslora,la18,10x10,848,4612,443.8679,0,277,20,137,49,6,489,False
ministral_rslora,la19,10x10,842,5105,506.2945,0,278,37,126,48,5,494,False
ministral_rslora,la20,10x10,902,4425,390.5765,0,278,30,104,50,2,464,False
granite_lora,ft06,6x6,55,58,5.4545,0,0,0,0,0,0,0,True
granite_lora,ft10,10x10,930,1777,91.0753,0,47,21,11,0,6,85,False
granite_lora,ft20,20x5,1165,9937,752.9614,4,245,12,0,0,0,261,False
granite_lora,la01,10x5,666,759,13.9640,0,0,0,0,0,0,0,True
granite_lora,la02,10x5,655,691,5.4962,0,0,0,0,0,0,0,True
granite_lora,la03,10x5,597,652,9.2127,0,0,0,0,0,0,0,True
granite_lora,la04,10x5,590,605,2.5424,0,0,0,0,0,0,0,True
granite_lora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
granite_lora,la06,15x5,926,1167,26.0259,8,3,3,0,0,0,14,False
granite_lora,la07,15x5,890,1192,33.9326,2,5,2,0,0,0,9,False
granite_lora,la08,15x5,863,1079,25.0290,3,6,1,0,0,0,10,False
