model,idx,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
SFT,0,1972,2214,12.27,0,0,0,0,0,0,0,Yes
SFT,1,120,120,0.00,0,0,0,0,0,0,0,Yes
SFT,2,76,76,0.00,0,0,0,0,0,0,0,Yes
SFT,3,2320,2320,0.00,0,0,0,0,0,0,0,Yes
SFT,4,2464,2464,0.00,0,0,0,0,0,0,0,Yes
SFT,5,1165,1348,15.71,0,0,0,2,0,0,2,No
SFT,6,1160,1272,9.66,0,0,0,0,0,0,0,Yes
SFT,7,673,673,0.00,0,0,0,0,0,0,0,Yes
SFT,8,1335,1407,5.39,0,0,0,0,0,0,0,Yes
SFT,9,90,110,22.22,0,2,0,0,0,0,2,No
SFT,10,939,1002,6.71,0,0,0,0,0,0,0,Yes
SFT,11,741,741,0.00,0,0,0,0,0,0,0,Yes
SFT,12,92,92,0.00,0,0,0,0,0,0,0,Yes
SFT,13,4009,4347,8.43,0,120,44,132,15,32,343,No
SFT,14,1258,1461,16.14,0,0,0,0,0,0,0,Yes
SFT,15,1290,1290,0.00,0,0,0,0,0,0,0,Yes
SFT,16,1715,1921,12.01,0,0,0,0,0,0,0,Yes
SFT,17,1913,1971,3.03,0,0,0,0,0,0,0,Yes
SFT,18,571,571,0.00,0,0,0,0,0,0,0,Yes
SFT,19,2377,2377,0.00,0,0,0,0,0,0,0,Yes
SFT,20,1375,1384,0.65,0,0,0,0,0,0,0,Yes
SFT,21,1166,1166,0.00,0,0,0,0,0,0,0,Yes
SFT,22,2331,3031,30.03,0,4,0,0,0,0,4,No
SFT,23,1641,1679,2.32,0,0,0,0,0,0,0,Yes
SFT,24,868,868,0.00,0,0,0,0,0,0,0,Yes
SFT,25,1462,1462,0.00,0,0,0,0,0,0,0,Yes
SFT,26,3228,4873,50.96,1,4,4,0,1,0,10,No
SFT,27,1926,1982,2.91,0,0,0,0,0,0,0,Yes
SFT,28,1303,1336,2.53,0,0,0,0,0,0,0,Yes
SFT,29,1541,1671,8.44,0,0,0,0,0,0,0,Yes
SFT,30,2579,2704,4.85,0,0,0,0,0,0,0,Yes
SFT,31,1364,1633,19.72,0,0,0,0,0,0,0,Yes
SFT,32,817,849,3.92,0,0,0,0,0,0,0,Yes
SFT,33,2440,2440,0.00,0,0,0,0,0,0,0,Yes
SFT,34,1161,1528,31.61,0,10,0,0,0,0,10,No
SFT,35,567,634,11.82,0,0,0,0,0,0,0,Yes
SFT,36,2848,3201,12.39,0,0,0,0,0,0,0,Yes
SFT,37,955,1078,12.88,0,0,0,0,0,0,0,Yes
SFT,38,1257,1429,13.68,0,0,0,0,0,0,0,Yes
SFT,39,670,670,0.00,0,0,0,0,0,0,0,Yes
SFT,40,2019,2175,7.73,0,0,0,0,0,0,0,Yes
SFT,41,2732,2732,0.00,0,0,0,0,0,0,0,Yes
SFT,42,1993,2219,11.34,0,0,0,0,0,0,0,Yes
SFT,43,284,297,4.58,0,0,0,0,0,0,0,Yes
SFT,44,1289,1289,0.00,0,0,0,0,0,0,0,Yes
SFT,45,945,951,0.63,0,0,0,0,0,0,0,Yes
SFT,46,1921,2065,7.50,0,0,0,0,0,0,0,Yes
SFT,47,1664,1802,8.29,0,0,0,0,0,0,0,Yes
SFT,48,135,155,14.81,0,0,0,0,0,0,0,Yes
SFT,49,824,824,0.00,0,0,0,0,0,0,0,Yes
SFT,50,2367,4653,96.58,0,188,16,111,12,13,340,No
SFT,51,981,1111,13.25,0,0,0,0,0,0,0,Yes
SFT,52,2122,2843,33.98,0,8,0,0,0,0,8,No
SFT,53,694,694,0.00,0,0,0,0,0,0,0,Yes
SFT,54,1806,1889,4.60,0,0,0,0,0,0,0,Yes
SFT,55,143,165,15.38,0,0,0,0,0,0,0,Yes
SFT,56,2288,2925,27.84,0,4,0,0,0,0,4,No
SFT,57,592,626,5.74,0,0,0,0,0,0,0,Yes
SFT,58,198,246,24.24,0,0,0,0,0,0,0,Yes
SFT,59,586,615,4.95,0,0,0,0,0,0,0,Yes
SFT,60,165,165,0.00,0,0,0,0,0,0,0,Yes
SFT,61,164,164,0.00,0,0,0,0,0,0,0,Yes
SFT,62,1916,2370,23.70,0,0,0,0,0,0,0,Yes
SFT,63,496,496,0.00,0,0,0,0,0,0,0,Yes
SFT,64,1157,1157,0.00,0,0,0,0,0,0,0,Yes
SFT,65,2645,3338,26.20,0,0,0,0,0,0,0,Yes
SFT,66,1007,1007,0.00,0,0,0,0,0,0,0,Yes
SFT,67,716,750,4.75,0,0,0,0,0,0,0,Yes
SFT,68,872,1011,15.94,0,4,0,0,0,0,4,No
SFT,69,1286,1711,33.05,0,5,0,0,0,0,5,No
SFT,70,1834,2086,13.74,0,0,0,0,0,0,0,Yes
SFT,71,3031,3604,18.90,0,0,0,0,0,0,0,Yes
SFT,72,1869,2144,14.71,0,0,0,0,0,0,0,Yes
SFT,73,496,622,25.40,0,3,0,0,0,0,3,No
SFT,74,731,731,0.00,0,0,0,0,0,0,0,Yes
SFT,75,2569,3010,17.17,0,0,0,0,0,0,0,Yes
SFT,76,877,893,1.82,0,0,0,0,0,0,0,Yes
SFT,77,1879,2033,8.20,0,0,0,0,0,0,0,Yes
SFT,78,947,997,5.28,0,0,0,0,0,0,0,Yes
SFT,79,789,1347,70.72,0,15,0,1,0,0,16,No
SFT,80,655,684,4.43,0,0,0,0,0,0,0,Yes
SFT,81,1314,1394,6.09,0,0,0,0,0,0,0,Yes
SFT,82,279,301,7.89,0,0,0,0,0,0,0,Yes
SFT,83,2281,2378,4.25,0,0,0,0,0,0,0,Yes
SFT,84,551,579,5.08,0,0,0,0,0,0,0,Yes
SFT,85,1807,1807,0.00,0,0,0,0,0,0,0,Yes
SFT,86,860,860,0.00,0,0,0,0,0,0,0,Yes
SFT,87,3023,3494,15.58,0,0,0,0,0,0,0,Yes
SFT,88,1125,1125,0.00,0,0,0,0,0,0,0,Yes
SFT,89,1806,1863,3.16,0,0,0,0,0,0,0,Yes
SFT,90,873,873,0.00,0,0,0,0,0,0,0,Yes
SFT,91,2023,2116,4.60,0,0,0,0,0,0,0,Yes
SFT,92,939,1063,13.21,0,0,0,0,0,0,0,Yes
SFT,93,328,328,0.00,0,0,0,0,0,0,0,Yes
SFT,94,519,520,0.19,0,0,0,0,0,0,0,Yes
SFT,95,193,223,15.54,0,0,0,0,0,0,0,Yes
SFT,96,72,75,4.17,0,0,0,0,0,0,0,Yes
SFT,97,419,419,0.00,0,0,0,0,0,0,0,Yes
SFT,98,499,566,13.43,0,0,0,0,0,0,0,Yes
SFT,99,1806,1806,0.00,0,0,0,0,0,0,0,Yes
SFT,100,1356,1356,0.00,0,0,0,0,0,0,0,Yes
SFT,101,536,556,3.73,0,0,0,0,0,0,0,Yes
SFT,102,987,987,0.00,0,0,0,0,0,0,0,Yes
SFT,103,2179,2392,9.78,0,0,0,0,0,0,0,Yes
SFT,104,1236,1281,3.64,0,0,0,0,0,0,0,Yes
SFT,105,2102,2383,13.37,0,0,0,0,0,0,0,Yes
