idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
,ft06,36,55,True,61,0,0,0,0,0,0,36,36,6.13
,ft10,100,930,True,1602,0,0,0,0,0,0,136,100,24.23
,ft20,100,1165,False,798,50,0,0,0,0,50,50,100,8.33
,la01,50,666,True,666,0,0,0,0,0,0,50,50,8.05
,la02,50,655,True,721,0,0,0,0,0,0,50,50,8.05
,la03,50,597,True,687,0,0,0,0,0,0,50,50,8.05
,la04,50,590,True,701,0,0,0,0,0,0,50,50,8.03
,la05,50,593,True,605,0,0,0,0,0,0,50,50,8.04
,la06,75,926,False,824,25,0,0,0,0,25,51,75,8.38
,la07,75,890,False,664,25,0,0,0,0,25,50,75,8.2
,la08,75,863,False,614,25,0,0,0,0,25,50,75,8.22
,la09,75,951,False,703,25,0,0,0,1,26,50,75,8.2
,la10,75,958,False,746,25,0,0,0,0,25,50,75,8.21
,la16,100,945,False,5879,0,3,13,7,0,23,299,100,63.88
,la17,100,784,True,1113,0,0,0,0,0,0,100,100,17.15
,la18,100,848,False,4504,0,0,16,7,0,23,300,100,63.89
,la19,100,842,False,1216,2,2,1,0,0,5,108,100,18.79
,la20,100,902,True,992,0,0,0,0,0,0,100,100,16.89
