name,bks,SFT-LoRA_strict_feas,SFT-LoRA_trim_ms,SFT-LoRA_trim_gap,SFT-LoRA_emit,SFT-LoRA_exp,SFT-LoRA_over_jobs,SFT-LoRA_missing,SFT-LoRA_routing_v,SFT-LoRA_machine_v,SFT-LoRA_timing_v,SFT-LoRA_precedence_v,SFT-LoRA_total_v,SFT-LoRA_gen_time,LoRA-LLaMA_strict_feas,LoRA-LLaMA_trim_ms,LoRA-LLaMA_trim_gap,LoRA-LLaMA_emit,LoRA-LLaMA_exp,LoRA-LLaMA_over_jobs,LoRA-LLaMA_missing,LoRA-LLaMA_routing_v,LoRA-LLaMA_machine_v,LoRA-LLaMA_timing_v,LoRA-LLaMA_precedence_v,LoRA-LLaMA_total_v,LoRA-LLaMA_gen_time,rsLoRA-LLaMA_strict_feas,rsLoRA-LLaMA_trim_ms,rsLoRA-LLaMA_trim_gap,rsLoRA-LLaMA_emit,rsLoRA-LLaMA_exp,rsLoRA-LLaMA_over_jobs,rsLoRA-LLaMA_missing,rsLoRA-LLaMA_routing_v,rsLoRA-LLaMA_machine_v,rsLoRA-LLaMA_timing_v,rsLoRA-LLaMA_precedence_v,rsLoRA-LLaMA_total_v,rsLoRA-LLaMA_gen_time,GRPO-V1_strict_feas,GRPO-V1_trim_ms,GRPO-V1_trim_gap,GRPO-V1_emit,GRPO-V1_exp,GRPO-V1_over_jobs,GRPO-V1_missing,GRPO-V1_routing_v,GRPO-V1_machine_v,GRPO-V1_timing_v,GRPO-V1_precedence_v,GRPO-V1_total_v,GRPO-V1_gen_time,GRPO-V3_strict_feas,GRPO-V3_trim_ms,GRPO-V3_trim_gap,GRPO-V3_emit,GRPO-V3_exp,GRPO-V3_over_jobs,GRPO-V3_missing,GRPO-V3_routing_v,GRPO-V3_machine_v,GRPO-V3_timing_v,GRPO-V3_precedence_v,GRPO-V3_total_v,GRPO-V3_gen_time,GRPO-V4_strict_feas,GRPO-V4_trim_ms,GRPO-V4_trim_gap,GRPO-V4_emit,GRPO-V4_exp,GRPO-V4_over_jobs,GRPO-V4_missing,GRPO-V4_routing_v,GRPO-V4_machine_v,GRPO-V4_timing_v,GRPO-V4_precedence_v,GRPO-V4_total_v,GRPO-V4_gen_time,GRPO-V5_strict_feas,GRPO-V5_trim_ms,GRPO-V5_trim_gap,GRPO-V5_emit,GRPO-V5_exp,GRPO-V5_over_jobs,GRPO-V5_missing,GRPO-V5_routing_v,GRPO-V5_machine_v,GRPO-V5_timing_v,GRPO-V5_precedence_v,GRPO-V5_total_v,GRPO-V5_gen_time,GRPO-V6 ck400_strict_feas,GRPO-V6 ck400_trim_ms,GRPO-V6 ck400_trim_gap,GRPO-V6 ck400_emit,GRPO-V6 ck400_exp,GRPO-V6 ck400_over_jobs,GRPO-V6 ck400_missing,GRPO-V6 ck400_routing_v,GRPO-V6 ck400_machine_v,GRPO-V6 ck400_timing_v,GRPO-V6 ck400_precedence_v,GRPO-V6 ck400_total_v,GRPO-V6 ck400_gen_time,GRPO-V7_strict_feas,GRPO-V7_trim_ms,GRPO-V7_trim_gap,GRPO-V7_emit,GRPO-V7_exp,GRPO-V7_over_jobs,GRPO-V7_missing,GRPO-V7_routing_v,GRPO-V7_machine_v,GRPO-V7_timing_v,GRPO-V7_precedence_v,GRPO-V7_total_v,GRPO-V7_gen_time
ft06,55,True,61,10.909090909090908,36,36,0,0,0,0,0,0,0,6.13,True,59,7.2727272727272725,36,36,0,,,,,,,,True,61,10.909090909090908,36,36,0,0,0,0,0,0,0,,True,60,9.0909,36,36,0,0,0,0,0,0,0,6.65,True,59,7.2727,36,36,0,0,0,0,0,0,0,7.26,True,59,7.2727,36,36,0,0,0,0,0,0,0,7.02,True,59,7.2727272727272725,36,36,0,0,0,0,0,0,0,6.57,True,61,10.909090909090908,36,36,0,0,0,0,0,0,0,6.16,True,59,7.2727,36,36,0,0,0,0,0,0,0,12.62
ft10,930,False,1064,,136,100,6,0,0,0,0,0,0,24.23,False,1134,,100,100,0,,,,,,,,False,1150,,101,100,1,0,0,1,0,0,1,,False,3428,,304,100,204,0,0,0,2,0,206,63.71,False,1274,,111,100,11,0,0,2,0,0,13,19.1,True,1122,20.6452,100,100,0,0,0,0,0,0,0,18.04,False,1119,,131,100,5,0,0,0,0,0,0,23.42,False,1255,,295,100,10,0,0,31,10,0,41,64.01,False,4917,,294,100,194,0,2,21,11,0,228,64.05
ft20,1165,False,798,,50,100,0,50,0,0,0,0,50,8.33,False,1765,,118,100,6,,,,,,,,False,789,,50,100,0,50,1,0,0,0,51,,False,1200,,83,100,2,19,0,0,0,0,21,14.44,False,1205,,84,100,6,22,4,1,1,0,34,15.76,False,1228,,85,100,7,22,2,0,0,0,31,16.23,False,814,,51,100,2,52,3,0,0,0,55,8.49,False,873,,49,100,1,52,3,0,0,0,55,8.26,False,1147,,80,100,0,20,0,0,0,0,20,14.28
la01,666,True,666,0.0,50,50,0,0,0,0,0,0,0,8.05,True,693,4.054054054054054,50,50,0,,,,,,,,True,666,0.0,50,50,0,0,0,0,0,0,0,,True,700,5.1051,50,50,0,0,0,0,0,0,0,8.12,True,666,0.0,50,50,0,0,0,0,0,0,0,8.05,True,666,0.0,50,50,0,0,0,0,0,0,0,9.54,True,666,0.0,50,50,0,0,0,0,0,0,0,8.04,True,697,4.654654654654655,50,50,0,0,0,0,0,0,0,8.14,True,705,5.8559,50,50,0,0,0,0,0,0,0,8.13
la02,655,True,721,10.076335877862595,50,50,0,0,0,0,0,0,0,8.05,True,763,16.48854961832061,50,50,0,,,,,,,,True,732,11.755725190839694,50,50,0,0,0,0,0,0,0,,True,736,12.3664,50,50,0,0,0,0,0,0,0,8.04,True,779,18.9313,50,50,0,0,0,0,0,0,0,8.05,True,766,16.9466,50,50,0,0,0,0,0,0,0,9.54,True,730,11.450381679389313,50,50,0,0,0,0,0,0,0,8.03,True,698,6.564885496183207,50,50,0,0,0,0,0,0,0,8.06,True,732,11.7557,50,50,0,0,0,0,0,0,0,8.03
la03,597,True,687,15.07537688442211,50,50,0,0,0,0,0,0,0,8.05,True,652,9.212730318257957,50,50,0,,,,,,,,True,650,8.877721943048575,50,50,0,0,0,0,0,0,0,,True,655,9.7152,50,50,0,0,0,0,0,0,0,8.04,True,632,5.8626,50,50,0,0,0,0,0,0,0,8.04,True,645,8.0402,50,50,0,0,0,0,0,0,0,8.74,True,650,8.877721943048575,50,50,0,0,0,0,0,0,0,8.03,True,653,9.380234505862646,50,50,0,0,0,0,0,0,0,8.06,True,665,11.3903,50,50,0,0,0,0,0,0,0,8.04
la04,590,True,701,18.8135593220339,50,50,0,0,0,0,0,0,0,8.03,True,662,12.203389830508476,50,50,0,,,,,,,,True,687,16.440677966101696,50,50,0,0,0,0,0,0,0,,True,616,4.4068,50,50,0,0,0,0,0,0,0,8.04,True,667,13.0508,50,50,0,0,0,0,0,0,0,8.05,True,616,4.4068,50,50,0,0,0,0,0,0,0,9.54,True,637,7.966101694915253,50,50,0,0,0,0,0,0,0,8.03,True,637,7.966101694915253,50,50,0,0,0,0,0,0,0,8.06,True,646,9.4915,50,50,0,0,0,0,0,0,0,8.03
la05,593,True,605,2.0236087689713322,50,50,0,0,0,0,0,0,0,8.04,True,593,0.0,50,50,0,,,,,,,,True,593,0.0,50,50,0,0,0,0,0,0,0,,True,593,0.0,50,50,0,0,0,0,0,0,0,8.04,True,593,0.0,50,50,0,0,0,0,0,0,0,8.05,True,593,0.0,50,50,0,0,0,0,0,0,0,8.74,True,593,0.0,50,50,0,0,0,0,0,0,0,8.03,True,593,0.0,50,50,0,0,0,0,0,0,0,8.06,True,593,0.0,50,50,0,0,0,0,0,0,0,8.05
la06,926,False,824,,51,75,1,25,0,0,0,0,25,8.38,False,880,,71,75,0,,,,,,,,False,753,,54,75,1,25,0,0,0,0,25,,False,5707,,293,75,218,0,0,0,10,0,228,63.83,False,956,,74,75,0,1,0,0,0,0,1,12.34,False,946,,70,75,0,5,0,0,0,0,5,13.2,False,755,,51,75,1,25,0,0,0,0,25,8.38,False,737,,51,75,1,25,0,0,0,0,25,8.5,False,918,,74,75,0,1,0,0,0,0,1,12.9
la07,890,False,664,,50,75,0,25,0,0,0,0,25,8.2,False,975,,77,75,1,,,,,,,,False,616,,50,75,0,25,0,0,0,0,25,,False,838,,72,75,0,3,0,0,0,0,3,12.05,False,975,,76,75,1,0,0,0,0,0,1,12.63,True,1077,21.0112,75,75,0,0,0,0,0,0,0,13.19,False,642,,50,75,0,25,0,0,0,0,25,8.2,False,615,,50,75,0,25,0,0,0,0,25,8.25,False,845,,70,75,0,5,0,0,0,0,5,12.04
la08,863,False,614,,50,75,0,25,0,0,0,0,25,8.22,False,831,,70,75,0,,,,,,,,False,614,,50,75,0,25,0,0,0,0,25,,True,863,0.0,75,75,0,0,0,0,0,0,0,12.46,False,811,,70,75,0,5,0,0,0,0,5,12.58,True,871,0.927,75,75,0,0,0,0,0,0,0,14.0,False,624,,50,75,0,25,0,0,0,0,25,8.2,False,666,,50,75,0,25,0,0,0,0,25,8.25,False,811,,70,75,0,5,0,0,0,0,5,12.62
la09,951,False,703,,50,75,0,25,0,0,0,1,26,8.2,True,951,0.0,75,75,0,,,,,,,,False,703,,50,75,0,25,0,0,0,1,26,,False,1034,,77,75,2,0,0,0,0,0,2,12.83,False,1105,,76,75,1,0,0,0,0,0,1,13.68,False,886,,69,75,0,6,0,0,0,0,6,12.96,False,668,,50,75,0,25,0,0,0,0,25,8.19,False,736,,50,75,0,25,0,0,0,0,25,8.25,True,951,0.0,75,75,0,0,0,0,0,0,0,12.87
la10,958,False,746,,50,75,0,25,0,0,0,0,25,8.21,False,871,,70,75,0,,,,,,,,False,746,,50,75,0,25,0,0,0,0,25,,False,1034,,76,75,1,0,0,0,0,0,1,12.71,True,994,3.7578,75,75,0,0,0,0,0,0,0,13.44,False,902,,68,75,0,7,0,0,0,0,7,12.79,False,761,,50,75,0,25,0,0,0,0,25,8.2,False,761,,50,75,0,25,0,0,0,0,25,8.25,False,994,,70,75,0,5,0,0,0,0,5,12.61
la16,945,False,1204,,299,100,10,0,3,13,7,0,23,63.88,False,1102,,104,100,2,,,,,,,,False,1211,,504,100,10,0,0,190,11,0,201,,True,1066,12.8042,100,100,0,0,0,0,0,0,0,17.1,False,4464,,297,100,197,0,1,2,9,0,209,64.09,True,1102,16.6138,100,100,0,0,0,0,0,0,0,17.88,False,1153,,104,100,1,0,0,0,0,0,0,17.7,True,1092,15.555555555555555,100,100,0,0,0,0,0,0,0,17.22,True,1066,12.8042,100,100,0,0,0,0,0,0,0,17.54
la17,784,True,1113,41.964285714285715,100,100,0,0,0,0,0,0,0,17.15,False,820,,105,100,2,,,,,,,,False,947,,104,100,1,0,0,0,0,1,1,,True,848,8.1633,100,100,0,0,0,0,0,0,0,16.88,True,836,6.6327,100,100,0,0,0,0,0,0,0,17.04,True,870,10.9694,100,100,0,0,0,0,0,0,0,17.62,True,818,4.336734693877551,100,100,0,0,0,0,0,0,0,16.88,False,837,,102,100,2,0,0,0,0,0,0,17.33,True,851,8.5459,100,100,0,0,0,0,0,0,0,16.91
la18,848,False,1052,,300,100,10,0,0,16,7,0,23,63.89,False,897,,98,100,0,,,,,,,,True,1055,24.410377358490564,100,100,0,0,0,0,0,0,0,,True,959,13.0896,100,100,0,0,0,0,0,0,0,16.9,False,948,,99,100,0,1,3,0,0,0,4,16.72,True,1009,18.9858,100,100,0,0,0,0,0,0,0,17.62,True,982,15.80188679245283,100,100,0,0,0,0,0,0,0,16.86,True,957,12.853773584905662,100,100,0,0,0,0,0,0,0,16.97,False,985,,99,100,0,1,0,0,0,1,2,17.14
la19,842,False,1203,,108,100,2,2,2,1,0,0,5,18.79,True,935,11.045130641330166,100,100,0,,,,,,,,True,955,13.420427553444181,100,100,0,0,0,0,0,0,0,,True,931,10.5701,100,100,0,0,0,0,0,0,0,16.89,True,1000,18.7648,100,100,0,0,0,0,0,0,0,16.92,True,1015,20.5463,100,100,0,0,0,0,0,0,0,17.63,False,1037,,105,100,2,0,0,0,0,0,0,17.89,False,986,,103,100,2,0,0,0,0,0,0,17.52,False,967,,98,100,0,2,0,0,0,0,2,16.55
