model,method,name,size,feasible,best_known,pred,gap_pct,input_tokens,gen_tokens,time_s,precedence_violations,routing_order_violations,timing_consistency_violations,machine_capacity_violations,missing_op_count,total_violations,extra_ops
llama,LoRA,ft06,6x6,1,55,59,7.2727272727272725,274,435,6.3,0,0,0,0,0,0,0
llama,LoRA,ft10,10x10,0,930,1134,21.935483870967744,546,1218,17.2,0,1,0,0,0,1,0
llama,LoRA,ft20,20x5,0,1165,1765,51.50214592274678,586,1500,21.4,0,0,0,0,8,8,0
llama,LoRA,la01,10x5,1,666,693,4.054054054054054,346,603,8.1,0,0,0,0,0,0,0
llama,LoRA,la02,10x5,1,655,763,16.48854961832061,346,603,8.1,0,0,0,0,0,0,0
llama,LoRA,la03,10x5,1,597,652,9.212730318257957,346,603,8.1,0,0,0,0,0,0,0
llama,LoRA,la04,10x5,1,590,662,12.203389830508476,346,603,8.1,0,0,0,0,0,0,0
llama,LoRA,la05,10x5,1,593,593,0.0,346,603,8.1,0,0,0,0,0,0,0
llama,LoRA,la06,15x5,0,926,880,-4.967602591792657,466,855,11.8,0,0,0,0,4,4,0
llama,LoRA,la07,15x5,1,890,975,9.550561797752808,466,927,12.8,0,0,0,0,0,0,0
llama,LoRA,la08,15x5,0,863,831,-3.7079953650057935,466,843,11.6,0,0,0,0,5,5,0
llama,LoRA,la09,15x5,1,951,951,0.0,466,903,12.5,0,0,0,0,0,0,0
llama,LoRA,la10,15x5,0,958,871,-9.08141962421712,466,843,11.6,0,0,0,0,5,5,0
llama,LoRA,la16,10x10,1,945,1145,21.164021164021165,546,1265,17.9,0,0,0,0,0,0,0
llama,LoRA,la17,10x10,0,784,960,22.448979591836736,546,1263,17.8,0,3,0,0,1,4,0
llama,LoRA,la18,10x10,0,848,897,5.778301886792453,546,1179,16.6,0,0,0,0,2,2,0
llama,LoRA,la19,10x10,1,842,935,11.045130641330166,546,1203,17.0,0,0,0,0,0,0,0
llama,LoRA,la20,10x10,0,902,4271,373.50332594235033,546,7000,122.9,0,1,21,138,0,160,0
llama,rsLoRA,ft06,6x6,1,55,61,10.909090909090908,274,435,6.2,0,0,0,0,0,0,0
llama,rsLoRA,ft10,10x10,0,930,1150,23.655913978494624,546,1229,17.4,0,0,0,1,0,1,0
llama,rsLoRA,ft20,20x5,0,1165,789,-32.27467811158798,586,603,8.3,0,1,0,0,50,51,0
llama,rsLoRA,la01,10x5,1,666,666,0.0,346,603,8.1,0,0,0,0,0,0,0
llama,rsLoRA,la02,10x5,1,655,732,11.755725190839694,346,603,8.1,0,0,0,0,0,0,0
