model,method,idx,size,jobs,machines,feasible,true_makespan,pred_makespan,gap_pct,exact_makespan,ops_emitted,ops_expected,extra_ops,precedence_violations,routing_order_violations,timing_consistency_violations,machine_capacity_violations,missing_op_count,total_violations,gen_tokens,time_s
llama,LoRA,1,7x3,7,3,1,977,977,0.0,1,21,21,0,0,0,0,0,0,0,255,4.0
llama,LoRA,2,7x7,7,7,1,941,1138,20.94,0,49,49,0,0,0,0,0,0,0,594,8.2
llama,LoRA,3,6x2,6,2,1,1402,1402,0.0,1,12,12,0,0,0,0,0,0,0,150,2.1
llama,LoRA,4,6x3,6,3,1,1565,1598,2.11,0,18,18,0,0,0,0,0,0,0,235,3.2
llama,LoRA,5,5x4,5,4,1,1286,1286,0.0,1,20,20,0,0,0,0,0,0,0,253,3.4
llama,LoRA,6,6x2,6,2,1,449,449,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,LoRA,7,8x5,8,5,1,462,509,10.17,0,40,40,0,0,0,0,0,0,0,483,6.6
llama,LoRA,8,6x3,6,3,1,498,498,0.0,1,18,18,0,0,0,0,0,0,0,219,3.0
llama,LoRA,9,8x4,8,4,1,1157,1157,0.0,1,32,32,0,0,0,0,0,0,0,389,5.3
llama,LoRA,10,3x2,3,2,1,71,71,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,LoRA,11,3x3,3,3,1,146,146,0.0,1,9,9,0,0,0,0,0,0,0,111,1.5
llama,LoRA,12,4x2,4,2,1,409,409,0.0,1,8,8,0,0,0,0,0,0,0,99,1.4
llama,LoRA,13,6x3,6,3,1,1289,1289,0.0,1,18,18,0,0,0,0,0,0,0,227,3.1
llama,LoRA,14,4x2,4,2,1,525,525,0.0,1,8,8,0,0,0,0,0,0,0,99,1.4
llama,LoRA,15,10x5,10,5,0,854,876,2.58,0,49,50,0,0,0,0,0,1,1,591,8.1
llama,LoRA,16,8x5,8,5,1,2499,2625,5.04,0,40,40,0,0,0,0,0,0,0,532,7.3
llama,LoRA,17,9x8,9,8,1,1223,1461,19.46,0,72,72,0,0,0,0,0,0,0,898,12.6
llama,LoRA,18,10x6,10,6,1,955,1270,32.98,0,60,60,0,0,0,0,0,0,0,733,10.1
llama,LoRA,19,3x2,3,2,1,332,332,0.0,1,6,6,0,0,0,0,0,0,0,75,1.1
llama,LoRA,20,9x4,9,4,1,686,698,1.75,0,36,36,0,0,0,0,0,0,0,435,5.9
llama,LoRA,21,8x2,8,2,1,358,358,0.0,1,16,16,0,0,0,0,0,0,0,195,2.7
llama,LoRA,22,9x3,9,3,1,2396,2396,0.0,1,27,27,0,0,0,0,0,0,0,346,4.8
llama,LoRA,23,10x8,10,8,1,127,143,12.6,0,80,80,0,0,0,0,0,0,0,963,13.6
llama,LoRA,24,9x6,9,6,1,2960,3097,4.63,0,54,54,0,0,0,0,0,0,0,732,10.2
llama,LoRA,25,6x6,6,6,1,1402,1548,10.41,0,36,36,0,0,0,0,0,0,0,452,6.1
llama,LoRA,26,10x8,10,8,1,374,418,11.76,0,80,80,0,0,0,0,0,0,0,963,13.4
llama,LoRA,27,8x4,8,4,1,2277,2380,4.52,0,32,32,0,0,0,0,0,0,0,421,5.6
llama,LoRA,28,9x8,9,8,1,490,505,3.06,0,72,72,0,0,0,0,0,0,0,867,12.0
llama,LoRA,29,5x2,5,2,1,755,755,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,30,10x6,10,6,1,2566,2776,8.18,0,60,60,0,0,0,0,0,0,0,792,10.8
llama,LoRA,31,6x2,6,2,1,280,280,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,LoRA,32,9x7,9,7,1,1651,1772,7.33,0,63,63,0,0,0,0,0,0,0,809,11.1
llama,LoRA,33,9x2,9,2,1,300,300,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,LoRA,34,7x5,7,5,1,1580,1778,12.53,0,35,35,0,0,0,0,0,0,0,448,6.0
llama,LoRA,35,8x8,8,8,1,427,478,11.94,0,64,64,0,0,0,0,0,0,0,771,10.6
llama,LoRA,36,9x9,9,9,1,2614,2633,0.73,0,81,81,0,0,0,0,0,0,0,1073,15.0
llama,LoRA,37,10x5,10,5,1,65,70,7.69,0,50,50,0,0,0,0,0,0,0,603,8.1
llama,LoRA,38,9x3,9,3,1,521,565,8.45,0,27,27,0,0,0,0,0,0,0,327,4.3
llama,LoRA,39,4x2,4,2,1,309,309,0.0,1,8,8,0,0,0,0,0,0,0,99,1.4
llama,LoRA,40,10x5,10,5,1,2180,2180,0.0,1,50,50,0,0,0,0,0,0,0,646,8.7
llama,LoRA,41,9x2,9,2,1,1709,1709,0.0,1,18,18,0,0,0,0,0,0,0,227,3.0
llama,LoRA,42,6x3,6,3,1,1271,1281,0.79,0,18,18,0,0,0,0,0,0,0,228,3.0
llama,LoRA,43,5x4,5,4,1,1442,1491,3.4,0,20,20,0,0,0,0,0,0,0,259,3.4
llama,LoRA,44,8x2,8,2,1,1525,1525,0.0,1,16,16,0,0,0,0,0,0,0,201,2.7
llama,LoRA,45,7x2,7,2,1,523,523,0.0,1,14,14,0,0,0,0,0,0,0,171,2.3
llama,LoRA,46,9x8,9,8,1,857,1095,27.77,0,72,72,0,0,0,0,0,0,0,873,12.0
llama,LoRA,47,7x3,7,3,1,1019,1047,2.75,0,21,21,0,0,0,0,0,0,0,256,3.4
llama,LoRA,48,10x4,10,4,1,2597,2597,0.0,1,40,40,0,0,0,0,0,0,0,524,7.0
llama,LoRA,49,7x7,7,7,1,2987,3727,24.77,0,49,49,0,0,0,0,0,0,0,659,8.9
llama,LoRA,50,6x6,6,6,1,2590,2715,4.83,0,36,36,0,0,0,0,0,0,0,474,6.3
llama,LoRA,51,9x2,9,2,1,1430,1430,0.0,1,18,18,0,0,0,0,0,0,0,222,3.0
llama,LoRA,52,4x3,4,3,1,435,435,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,LoRA,53,10x2,10,2,1,1598,1598,0.0,1,20,20,0,0,0,0,0,0,0,249,3.3
llama,LoRA,54,9x8,9,8,1,422,446,5.69,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,LoRA,55,7x5,7,5,1,1365,1407,3.08,0,35,35,0,0,0,0,0,0,0,439,5.9
llama,LoRA,56,10x10,10,10,1,1077,1138,5.66,0,101,100,0,0,0,0,0,0,0,1234,17.5
llama,LoRA,57,10x9,10,9,1,242,269,11.16,0,90,90,0,0,0,0,0,0,0,1083,15.2
llama,LoRA,58,6x2,6,2,1,727,727,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,LoRA,59,7x3,7,3,1,861,869,0.93,0,21,21,0,0,0,0,0,0,0,255,3.4
llama,LoRA,60,10x10,10,10,0,2466,2852,15.65,0,99,100,0,0,0,0,0,2,2,1305,18.5
llama,LoRA,61,6x4,6,4,1,693,713,2.89,0,24,24,0,0,0,0,0,0,0,291,3.9
llama,LoRA,62,7x7,7,7,1,1466,1650,12.55,0,49,49,0,0,0,0,0,0,0,620,8.4
llama,LoRA,63,6x3,6,3,1,45,48,6.67,0,18,18,0,0,0,0,0,0,0,219,2.9
llama,LoRA,64,7x6,7,6,1,1819,2013,10.67,0,42,42,0,0,0,0,0,0,0,545,7.3
llama,LoRA,65,10x6,10,6,1,591,719,21.66,0,60,60,0,0,0,0,0,0,0,723,9.8
llama,LoRA,66,10x8,10,8,1,532,601,12.97,0,80,80,0,0,0,0,0,0,0,963,13.4
llama,LoRA,67,6x6,6,6,1,1064,1238,16.35,0,36,36,0,0,0,0,0,0,0,442,5.9
llama,LoRA,68,6x3,6,3,1,1157,1324,14.43,0,18,18,0,0,0,0,0,0,0,222,2.9
llama,LoRA,69,3x2,3,2,1,1121,1121,0.0,1,6,6,0,0,0,0,0,0,0,77,1.0
llama,LoRA,70,5x2,5,2,1,545,602,10.46,0,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,71,5x5,5,5,1,1016,1179,16.04,0,25,25,0,0,0,0,0,0,0,305,4.1
llama,LoRA,72,7x2,7,2,1,674,674,0.0,1,14,14,0,0,0,0,0,0,0,171,2.3
llama,LoRA,73,6x5,6,5,1,340,357,5.0,0,30,30,0,0,0,0,0,0,0,363,4.8
llama,LoRA,74,6x5,6,5,1,329,362,10.03,0,30,30,0,0,0,0,0,0,0,363,4.8
llama,LoRA,75,5x2,5,2,1,1621,1621,0.0,1,11,10,0,0,0,0,0,0,0,138,1.8
llama,LoRA,76,5x5,5,5,1,744,796,6.99,0,25,25,0,0,0,0,0,0,0,303,4.0
llama,LoRA,77,10x8,10,8,1,2435,2587,6.24,0,80,80,0,0,0,0,0,0,0,1050,14.6
llama,LoRA,78,2x2,2,2,1,698,698,0.0,1,4,4,0,0,0,0,0,0,0,51,0.7
llama,LoRA,79,8x6,8,6,1,1414,1597,12.94,0,48,48,0,0,0,0,0,0,0,606,8.2
llama,LoRA,80,8x5,8,5,1,2241,2585,15.35,0,40,40,0,0,0,0,0,0,0,529,7.1
llama,LoRA,81,3x2,3,2,0,364,364,0.0,1,5,6,0,0,0,1,0,1,2,75,1.0
llama,LoRA,82,10x8,10,8,0,4012,5872,46.36,0,72,80,0,1,9,8,2,8,28,1069,14.9
llama,LoRA,83,4x2,4,2,1,338,338,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,84,4x2,4,2,1,930,930,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,85,9x8,9,8,1,2063,2366,14.69,0,72,72,0,0,0,0,0,0,0,942,13.0
llama,LoRA,86,8x4,8,4,1,495,495,0.0,1,32,32,0,0,0,0,0,0,0,387,5.2
llama,LoRA,87,9x7,9,7,1,1884,2159,14.6,0,63,63,0,0,0,0,0,0,0,819,11.2
llama,LoRA,88,6x3,6,3,1,1328,1373,3.39,0,18,18,0,0,0,0,0,0,0,224,3.0
llama,LoRA,89,9x4,9,4,1,250,250,0.0,1,36,36,0,0,0,0,0,0,0,435,5.8
llama,LoRA,90,4x2,4,2,1,301,301,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,91,7x7,7,7,1,1685,1828,8.49,0,49,49,0,0,0,0,0,0,0,632,8.5
llama,LoRA,92,10x10,10,10,0,2329,2569,10.3,0,99,100,0,0,0,0,0,1,1,1297,18.4
llama,LoRA,93,8x7,8,7,1,2787,3013,8.11,0,56,56,0,0,0,0,0,0,0,747,10.2
llama,LoRA,94,5x2,5,2,1,177,177,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,95,9x4,9,4,1,706,747,5.81,0,36,36,0,0,0,0,0,0,0,435,5.8
llama,LoRA,96,4x2,4,2,1,822,837,1.82,0,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,97,10x9,10,9,1,571,676,18.39,0,90,90,0,0,0,0,0,0,0,1083,15.2
llama,LoRA,98,5x3,5,3,1,422,422,0.0,1,15,15,0,0,0,0,0,0,0,183,2.4
llama,LoRA,99,6x2,6,2,1,895,1040,16.2,0,12,12,0,0,0,0,0,0,0,148,2.0
llama,LoRA,100,8x7,8,7,1,2448,2593,5.92,0,56,56,0,0,0,0,0,0,0,738,10.0
llama,LoRA,101,10x8,10,8,1,2704,2943,8.84,0,80,80,0,0,0,0,0,0,0,1069,14.9
llama,LoRA,102,9x7,9,7,1,999,1115,11.61,0,63,63,0,0,0,0,0,0,0,773,10.6
llama,LoRA,103,8x7,8,7,1,1063,1090,2.54,0,56,56,0,0,0,0,0,0,0,683,9.3
llama,LoRA,104,6x6,6,6,1,1136,1209,6.43,0,36,36,0,0,0,0,0,0,0,440,5.9
llama,LoRA,105,10x7,10,7,1,2374,2542,7.08,0,70,70,0,0,0,0,0,0,0,930,12.9
llama,LoRA,106,10x4,10,4,1,445,448,0.67,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,LoRA,107,4x2,4,2,1,435,435,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,108,6x5,6,5,1,1605,1605,0.0,1,30,30,0,0,0,0,0,0,0,390,5.2
llama,LoRA,109,9x4,9,4,1,1757,1757,0.0,1,36,36,0,0,0,0,0,0,0,459,6.1
llama,LoRA,110,8x6,8,6,1,1637,1693,3.42,0,48,48,0,0,0,0,0,0,0,619,8.3
llama,LoRA,111,9x8,9,8,1,154,166,7.79,0,72,72,0,0,0,0,0,0,0,867,12.0
llama,LoRA,112,8x6,8,6,1,2959,3137,6.02,0,48,48,0,0,0,0,0,0,0,647,8.7
llama,LoRA,113,5x2,5,2,1,947,947,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,114,10x2,10,2,1,958,1016,6.05,0,20,20,0,0,0,0,0,0,0,244,3.2
llama,LoRA,115,10x6,10,6,1,639,684,7.04,0,60,60,0,0,0,0,0,0,0,723,9.9
llama,LoRA,116,6x3,6,3,1,753,753,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,LoRA,117,9x8,9,8,1,878,1025,16.74,0,72,72,0,0,0,0,0,0,0,868,12.0
llama,LoRA,118,7x5,7,5,1,1561,1634,4.68,0,35,35,0,0,0,0,0,0,0,440,5.9
llama,LoRA,119,6x5,6,5,1,1504,1548,2.93,0,30,30,0,0,0,0,0,0,0,374,5.0
llama,LoRA,120,10x10,10,10,0,157,170,8.28,0,99,100,0,0,0,0,0,1,1,1191,16.9
llama,LoRA,121,7x4,7,4,1,1041,1331,27.86,0,28,28,0,0,0,0,0,0,0,348,4.6
llama,LoRA,122,9x3,9,3,1,53,53,0.0,1,27,27,0,0,0,0,0,0,0,327,4.3
llama,LoRA,123,7x3,7,3,1,356,357,0.28,0,21,21,0,0,0,0,0,0,0,255,3.4
llama,LoRA,124,9x6,9,6,1,486,614,26.34,0,54,54,0,0,0,0,0,0,0,651,8.8
llama,LoRA,125,7x4,7,4,1,1681,1763,4.88,0,28,28,0,0,0,0,0,0,0,358,4.8
llama,LoRA,126,6x3,6,3,1,890,890,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,LoRA,127,9x3,9,3,1,1315,1355,3.04,0,27,27,0,0,0,0,0,0,0,337,4.5
llama,LoRA,128,9x9,9,9,1,520,531,2.12,0,81,81,0,0,0,0,0,0,0,975,13.5
llama,LoRA,129,5x3,5,3,1,972,972,0.0,1,15,15,0,0,0,0,0,0,0,183,2.4
llama,LoRA,130,7x5,7,5,1,58,64,10.34,0,35,35,0,0,0,0,0,0,0,423,5.6
llama,LoRA,131,4x2,4,2,1,59,59,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,132,8x8,8,8,1,2917,3296,12.99,0,64,64,0,0,0,0,0,0,0,852,11.7
llama,LoRA,133,10x10,10,10,1,3106,3574,15.07,0,100,100,0,0,0,0,0,0,0,1335,18.9
llama,LoRA,134,9x3,9,3,1,1271,1372,7.95,0,27,27,0,0,0,0,0,0,0,336,4.5
llama,LoRA,135,8x8,8,8,1,2891,3213,11.14,0,64,64,0,0,0,0,0,0,0,856,11.7
llama,LoRA,136,7x6,7,6,1,1810,1914,5.75,0,42,42,0,0,0,0,0,0,0,541,7.3
llama,LoRA,137,9x7,9,7,1,2875,2960,2.96,0,63,63,0,0,0,0,0,0,0,830,11.4
llama,LoRA,138,7x5,7,5,1,1493,1560,4.49,0,35,35,0,0,0,0,0,0,0,441,5.9
llama,LoRA,139,7x2,7,2,1,1230,1358,10.41,0,14,14,0,0,0,0,0,0,0,177,2.4
llama,LoRA,140,4x2,4,2,1,802,802,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,LoRA,141,5x3,5,3,1,466,466,0.0,1,15,15,0,0,0,0,0,0,0,183,2.4
llama,LoRA,142,6x2,6,2,1,1434,1434,0.0,1,12,12,0,0,0,0,0,0,0,153,2.0
llama,LoRA,143,6x6,6,6,1,1654,1654,0.0,1,36,36,0,0,0,0,0,0,0,464,6.2
llama,LoRA,144,9x7,9,7,1,3094,3408,10.15,0,63,63,0,0,0,0,0,0,0,835,11.4
llama,LoRA,145,8x3,8,3,1,2117,2357,11.34,0,24,24,0,0,0,0,0,0,0,314,4.2
llama,LoRA,146,8x3,8,3,1,931,941,1.07,0,24,24,0,0,0,0,0,0,0,291,3.9
llama,LoRA,147,5x4,5,4,1,1336,1336,0.0,1,20,20,0,0,0,0,0,0,0,254,3.4
llama,LoRA,148,10x8,10,8,0,3185,3242,1.79,0,80,80,0,0,4,0,10,0,14,1061,14.8
llama,LoRA,149,10x2,10,2,1,856,856,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,LoRA,150,8x3,8,3,1,243,243,0.0,1,24,24,0,0,0,0,0,0,0,291,3.9
llama,LoRA,151,9x3,9,3,1,1376,1376,0.0,1,27,27,0,0,0,0,0,0,0,337,4.5
llama,LoRA,152,5x2,5,2,1,588,588,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,153,7x2,7,2,1,2058,2058,0.0,1,14,14,0,0,0,0,0,0,0,181,2.4
llama,LoRA,154,7x6,7,6,1,1331,1545,16.08,0,42,42,0,0,0,0,0,0,0,524,7.0
llama,LoRA,155,8x2,8,2,1,2328,2437,4.68,0,16,16,0,0,0,0,0,0,0,207,2.8
llama,LoRA,156,6x6,6,6,1,1639,1639,0.0,1,36,36,0,0,0,0,0,0,0,461,6.2
llama,LoRA,157,7x4,7,4,1,804,824,2.49,0,28,28,0,0,0,0,0,0,0,339,4.5
llama,LoRA,158,8x7,8,7,1,254,286,12.6,0,56,56,0,0,0,0,0,0,0,675,9.2
llama,LoRA,159,10x8,10,8,1,1617,1707,5.57,0,80,80,0,0,0,0,0,0,0,1013,14.1
llama,LoRA,160,10x4,10,4,1,801,840,4.87,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,LoRA,161,8x8,8,8,1,1695,1924,13.51,0,64,64,0,0,0,0,0,0,0,835,11.5
llama,LoRA,162,6x6,6,6,1,1383,1592,15.11,0,36,36,0,0,0,0,0,0,0,452,6.0
llama,LoRA,163,7x7,7,7,1,2859,3433,20.08,0,49,49,0,0,0,0,0,0,0,655,8.8
llama,LoRA,164,10x2,10,2,1,873,873,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,LoRA,165,5x3,5,3,1,543,543,0.0,1,15,15,0,0,0,0,0,0,0,183,2.4
llama,LoRA,166,4x4,4,4,1,412,460,11.65,0,16,16,0,0,0,0,0,0,0,195,2.6
llama,LoRA,167,10x2,10,2,1,583,583,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,LoRA,168,9x7,9,7,0,615,673,9.43,0,62,63,0,0,0,0,0,1,1,747,10.2
llama,LoRA,169,5x2,5,2,1,545,545,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,LoRA,170,9x6,9,6,1,1799,1837,2.11,0,54,54,0,0,0,0,0,0,0,688,9.3
llama,LoRA,171,2x2,2,2,1,72,72,0.0,1,4,4,0,0,0,0,0,0,0,51,0.7
llama,LoRA,172,10x7,10,7,1,2254,2672,18.54,0,70,70,0,0,0,0,0,0,0,933,12.9
llama,LoRA,173,8x3,8,3,1,870,890,2.3,0,24,24,0,0,0,0,0,0,0,291,3.9
llama,LoRA,174,8x8,8,8,1,1258,1305,3.74,0,64,64,0,0,0,0,0,0,0,784,10.7
llama,LoRA,175,8x7,8,7,1,612,748,22.22,0,56,56,0,0,0,0,0,0,0,675,9.2
llama,LoRA,176,10x10,10,10,0,359,592,64.9,0,115,100,0,0,0,0,1,0,1,1383,19.7
llama,LoRA,177,10x8,10,8,1,57,62,8.77,0,80,80,0,0,0,0,0,0,0,963,13.4
llama,LoRA,178,5x5,5,5,1,1420,1428,0.56,0,25,25,0,0,0,0,0,0,0,315,4.2
llama,LoRA,179,9x7,9,7,1,1867,2083,11.57,0,63,63,0,0,0,0,0,0,0,810,11.1
llama,LoRA,180,8x5,8,5,1,441,540,22.45,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,LoRA,181,9x4,9,4,1,1052,1129,7.32,0,36,36,0,0,0,0,0,0,0,438,5.9
llama,LoRA,182,3x2,3,2,1,162,162,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,LoRA,183,10x2,10,2,1,1527,1527,0.0,1,20,20,0,0,0,0,0,0,0,251,3.3
llama,LoRA,184,7x6,7,6,1,667,705,5.7,0,42,42,0,0,0,0,0,0,0,507,6.8
llama,LoRA,185,7x4,7,4,1,1851,1906,2.97,0,28,28,0,0,0,0,0,0,0,358,4.8
llama,LoRA,186,6x4,6,4,1,1335,1404,5.17,0,24,24,0,0,0,0,0,0,0,306,4.1
llama,LoRA,187,10x7,10,7,1,2042,2306,12.93,0,70,70,0,0,0,0,0,0,0,926,12.8
llama,LoRA,188,8x5,8,5,1,1700,1713,0.76,0,40,40,0,0,0,0,0,0,0,505,6.8
llama,LoRA,189,7x2,7,2,1,1390,1550,11.51,0,14,14,0,0,0,0,0,0,0,179,2.4
llama,LoRA,190,7x4,7,4,1,1296,1324,2.16,0,28,28,0,0,0,0,0,0,0,347,4.6
llama,LoRA,191,4x3,4,3,1,1451,1481,2.07,0,12,12,0,0,0,0,0,0,0,151,2.0
llama,LoRA,192,4x4,4,4,1,143,151,5.59,0,16,16,0,0,0,0,0,0,0,195,2.6
llama,LoRA,193,9x4,9,4,1,860,865,0.58,0,36,36,0,0,0,0,0,0,0,435,5.8
llama,LoRA,194,4x3,4,3,1,1187,1187,0.0,1,12,12,0,0,0,0,0,0,0,153,2.0
llama,LoRA,195,10x8,10,8,1,219,257,17.35,0,80,80,0,0,0,0,0,0,0,963,13.4
llama,LoRA,196,6x5,6,5,1,2582,2725,5.54,0,30,30,0,0,0,0,0,0,0,393,5.2
llama,LoRA,197,10x7,10,7,1,1876,1879,0.16,0,70,70,0,0,0,0,0,0,0,897,12.4
llama,LoRA,198,9x4,9,4,1,1888,2171,14.99,0,36,36,0,0,0,0,0,0,0,464,6.2
llama,LoRA,199,5x5,5,5,1,402,402,0.0,1,25,25,0,0,0,0,0,0,0,303,4.0
llama,LoRA,200,8x6,8,6,1,1622,1787,10.17,0,48,48,0,0,0,0,0,0,0,605,8.1
llama,rsLoRA,1,7x3,7,3,1,977,977,0.0,1,21,21,0,0,0,0,0,0,0,255,3.8
llama,rsLoRA,2,7x7,7,7,1,941,1007,7.01,0,49,49,0,0,0,0,0,0,0,592,7.9
llama,rsLoRA,3,6x2,6,2,1,1402,1402,0.0,1,12,12,0,0,0,0,0,0,0,150,2.0
llama,rsLoRA,4,6x3,6,3,1,1565,1598,2.11,0,18,18,0,0,0,0,0,0,0,235,3.1
llama,rsLoRA,5,5x4,5,4,1,1286,1430,11.2,0,20,20,0,0,0,0,0,0,0,255,3.4
llama,rsLoRA,6,6x2,6,2,1,449,449,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,rsLoRA,7,8x5,8,5,1,462,528,14.29,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,rsLoRA,8,6x3,6,3,1,498,512,2.81,0,18,18,0,0,0,0,0,0,0,219,2.9
llama,rsLoRA,9,8x4,8,4,1,1157,1157,0.0,1,32,32,0,0,0,0,0,0,0,389,5.2
llama,rsLoRA,10,3x2,3,2,1,71,71,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,rsLoRA,11,3x3,3,3,1,146,146,0.0,1,9,9,0,0,0,0,0,0,0,111,1.5
llama,rsLoRA,12,4x2,4,2,1,409,409,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,13,6x3,6,3,1,1289,1402,8.77,0,18,18,0,0,0,0,0,0,0,228,3.0
llama,rsLoRA,14,4x2,4,2,1,525,525,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,15,10x5,10,5,1,854,864,1.17,0,50,50,0,0,0,0,0,0,0,603,8.1
llama,rsLoRA,16,8x5,8,5,1,2499,2685,7.44,0,40,40,0,0,0,0,0,0,0,530,7.1
llama,rsLoRA,17,9x8,9,8,1,1223,1330,8.75,0,72,72,0,0,0,0,0,0,0,904,12.4
